[DEBUG] 2019-09-25 19:56:51.166 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-09-25 19:56:51.174 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-09-25 19:56:51.181 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-09-25 19:56:51.291 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-09-25 19:56:51.294 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-09-25 19:56:51.496 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-09-25 19:56:51.497 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-09-25 19:56:51.502 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-09-25 19:56:51.775 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-09-25 19:56:51.796 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-09-25 19:56:51.797 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-09-25 19:56:51.818 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-09-25 19:56:52.129 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@64a4dd8d
[DEBUG] 2019-09-25 19:56:52.129 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@64a4dd8d
[DEBUG] 2019-09-25 19:56:52.129 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@64a4dd8d
[DEBUG] 2019-09-25 19:56:52.130 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@22367b8
[DEBUG] 2019-09-25 19:56:52.130 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@1fcf9739
[DEBUG] 2019-09-25 19:56:52.131 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@385e36d4
[DEBUG] 2019-09-25 19:56:52.132 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3fd2322d
[DEBUG] 2019-09-25 19:56:52.132 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3fd2322d
[DEBUG] 2019-09-25 19:56:52.132 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3fd2322d
[DEBUG] 2019-09-25 19:56:52.133 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4f4c789f
[DEBUG] 2019-09-25 19:56:52.133 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4f4c789f
